0:00:00.026123| INFO     |:35 - --- Day 2: Dive! ---                              
0:00:00.026348| INFO     |:35 -                       https://adventofcode.com/2021/day/2                       
0:00:00.026460| INFO     |:35 - ------------------------------- Example data 1/1 -------------------------------
0:00:00.026558| INFO     |:35 - forward 5
0:00:00.026651| INFO     |:35 - down 5
0:00:00.026740| INFO     |:35 - forward 8
0:00:00.026952| INFO     |:35 - up 3
0:00:00.027129| INFO     |:35 - down 8
0:00:00.027316| INFO     |:35 - forward 2
0:00:00.027470| INFO     |:35 - --------------------------------------------------------------------------------
0:00:00.027746| INFO     |:35 - answer_a: 150
0:00:00.028001| INFO     |:35 - answer_b: -
0:00:00.029644| INFO     |:35 - --------------------------------------------------------------------------------
0:00:00.018016| INFO     |:35 - --- Day 2: Dive! ---                              
0:00:00.018401| INFO     |:35 -                       https://adventofcode.com/2021/day/2                       
0:00:00.018687| INFO     |:35 - ------------------------------- Example data 1/1 -------------------------------
0:00:00.018905| INFO     |:35 - forward 5
0:00:00.019058| INFO     |:35 - down 5
0:00:00.019203| INFO     |:35 - forward 8
0:00:00.019391| INFO     |:35 - up 3
0:00:00.019555| INFO     |:35 - down 8
0:00:00.019731| INFO     |:35 - forward 2
0:00:00.019917| INFO     |:35 - --------------------------------------------------------------------------------
0:00:00.020133| INFO     |:35 - answer_a: 150
0:00:00.020299| INFO     |:35 - answer_b: -
0:00:00.020433| INFO     |:35 - --------------------------------------------------------------------------------
0:00:00.028159| INFO     |:36 - forward 8
0:00:00.028446| INFO     |:36 - up 3
0:00:00.028598| INFO     |:36 - down 8
0:00:00.026242| INFO     |:35 - forward 5
0:00:00.026623| INFO     |:35 - down 5
0:00:00.026852| INFO     |:35 - forward 8
0:00:00.027007| INFO     |:35 - up 3
0:00:00.027130| INFO     |:35 - down 8
0:00:00.027249| INFO     |:35 - forward 2
